Group,Payer,Plan,Group - Payer - Plan,Website,PA
Arkansas Medicaid,Prime Therapeutics,,Arkansas Medicaid - Prime Therapeutics,https://ar.primetherapeutics.com/documents/268611/269354/Preferred+Drug+List.pdf/533764a9-1715-6daf-8eb5-bbe71e53ca1d?t=1688593048729,
GOV,AR Benefits (Arkansas State & Public School Employees),,GOV - AR Benefits (Arkansas State & Public School Employees),https://sas.arkansas.gov/wp-content/uploads/Arkansas-Formulary-2025_09.pdf,https://sas.arkansas.gov/wp-content/uploads/EBRx-Medical-Benefit-Criteria-for-EBD-202507.pdf
GOV,Arkansas State Police,,GOV - Arkansas State Police,https://dps.arkansas.gov/wp-content/uploads/ASP-Formulary-January-2026_APPROVED.pdf,
GOV,BCBS Federal Employee Program (FEP),Blue Basic,GOV - BCBS Federal Employee Program (FEP) - Blue Basic,https://www.caremark.com/portal/asset/z6500_drug_list807.pdf,
GOV,BCBS Federal Employee Program (FEP),Blue Focus,GOV - BCBS Federal Employee Program (FEP) - Blue Focus,https://www.caremark.com/portal/asset/FEP_Blue_Focus_Formulary.pdf,
GOV,BCBS Federal Employee Program (FEP),Blue Standard,GOV - BCBS Federal Employee Program (FEP) - Blue Standard,https://www.caremark.com/portal/asset/z6500_drug_list.pdf,
GOV,Government Employee Health Association (GEHA),ElevatePlus,GOV - Government Employee Health Association (GEHA) - ElevatePlus,https://www.caremark.com/content/dam/enterprise/headless/caremark/cmk/en/assets/clinical/drug-lists-client/ltr-g/GEHA_FEHB_ElevatePlus_DrugList.pdf,
GOV,Government Employee Health Association (GEHA),Performance,GOV - Government Employee Health Association (GEHA) - Performance,https://www.caremark.com/content/dam/enterprise/headless/caremark/cmk/en/assets/clinical/drug-lists-client/ltr-g/GEHA_PSHB_Standard_DrugList.pdf,
GOV,Government Employee Health Association (GEHA),Standard,GOV - Government Employee Health Association (GEHA) - Standard,https://www.caremark.com/content/dam/enterprise/headless/caremark/cmk/en/assets/clinical/drug-lists-client/ltr-g/GEHA_FEHB_StandardDrugList.pdf,
GOV,Government Employee Health Association (GEHA),Value,GOV - Government Employee Health Association (GEHA) - Value,https://www.caremark.com/content/dam/enterprise/headless/caremark/cmk/en/assets/clinical/drug-lists-client/ltr-g/GEHA_FEHB_Chart_QR_DrugList.pdf,
Medicare,Aetna,HMO Dual SNP,Medicare - Aetna - HMO Dual SNP,https://www.aetna.com/medicare/documents/individual/2025/formularies/FORM_2025_25101B24bHMODSNP_EN.pdf,https://www.aetna.com/medicare/documents/individual/2025/formularies/PA_2025_25101_DSNP.pdf
Medicare,Aetna,HMO,Medicare - Aetna - HMO,https://www.aetna.com/medicare/documents/individual/2025/formularies/FORM_2025_25101B25zHMO_EN.pdf,https://www.aetna.com/medicare/documents/individual/2025/formularies/PA_2025_25101_HMO.pdf
Medicare,Aetna,PPO,Medicare - Aetna - PPO,https://www.aetna.com/medicare/documents/individual/2025/formularies/FORM_2025_25101B25zPPO_EN.pdf,https://www.aetna.com/medicare/documents/individual/2025/formularies/PA_2025_25101_PPO.pdf
Medicare,Aetna,PPO Dual SNP,Medicare - Aetna - PPO Dual SNP,https://www.aetna.com/medicare/documents/individual/2025/formularies/FORM_2025_25101B24bPPODSNP_EN.pdf,https://www.aetna.com/medicare/documents/individual/2025/formularies/PA_2025_25101_DSNP.pdf
Medicare,Aetna,SilverScript Choice,Medicare - Aetna - SilverScript Choice,https://www.aetna.com/medicare/documents/individual/2025/formularies/FORM_2025_25096A2z_EN.pdf,
Medicare,Arkansas BlueCross BlueShield,Classic Plus (HMO),Medicare - Arkansas BlueCross BlueShield - Classic Plus (HMO),https://assets.contentstack.io/v3/assets/blte81730ee65c02059/blt6097525d07fd1f1f/hmo_pffs_formulary.pdf,https://assets.contentstack.io/v3/assets/blte81730ee65c02059/blt169c1b1c6f81ebc8/68dd5870e505219c244248a5/5T_GS_CORE.pdf
